,count,abs_min,abs_max,signed_min:,signed_max,median(abs),relative-l2,99th percentile(abs),95th percentile(abs),90th percentile(abs),mapping,constraint,mesh A,mesh B,ranks A,ranks B,globalTime,initializeTime,computeMappingTime,mapDataTime,peakMemA,peakMemB
11,4302,0.0,0.0357815648089516,-0.0352129946429455,0.0357815648089516,0.0054921022969134,0.009401235933408,0.0251692302530857,0.0194930846553372,0.0162554113823638,nn,consistent,0.004,0.009,0.004,0.009,2943,2165,630,0,135.98828125,137.87109375
7,4302,0.0,0.0500391608999665,-0.0496172149163045,0.0500391608999665,0.007762043678914,0.014288439670751,0.0393178451959559,0.0297952733538976,0.025165848934956,nn,consistent,0.006,0.009,0.006,0.009,2051,1338,611,0,131.296875,134.421875
9,4302,0.0,0.0683799354045353,-0.0683799354045353,0.0681122956588242,0.0100293168100185,0.018128530716914,0.0513664716973169,0.0374919025450876,0.0306916452984376,nn,consistent,0.008,0.009,0.008,0.009,1798,1041,606,0,131.79296875,135.58203125
10,4302,0.0,0.0983269717992838,-0.0881062482261356,0.0983269717992838,0.011662887244136,0.0222293793962216,0.0641531490729277,0.0474509388664238,0.0381394642046538,nn,consistent,0.01,0.009,0.01,0.009,1752,1018,582,1,131.4765625,135.07421875
6,4302,0.0,0.1715148800574976,-0.1570690436474677,0.1715148800574976,0.0275643477328544,0.0486210809600461,0.1316952617361608,0.099805660694633,0.0836534801114958,nn,consistent,0.02,0.009,0.02,0.009,1510,759,624,0,131.328125,135.16796875
8,4302,0.0,0.2892376822802409,-0.2892376822802409,0.2439426190452134,0.0403342887199838,0.0712393038932773,0.194606860490454,0.146406627810257,0.1220052997425776,nn,consistent,0.03,0.009,0.03,0.009,2022,1133,697,1,131.30859375,135.26953125
