,count,abs_min,abs_max,signed_min:,signed_max,median(abs),relative-l2,99th percentile(abs),95th percentile(abs),90th percentile(abs),mapping,constraint,mesh A,mesh B,ranks A,ranks B,globalTime,initializeTime,computeMappingTime,mapDataTime,peakMemA,peakMemB
5,4302,0.0,0.1018693457785312,-0.1018693457785312,0.0792631829207549,0.0001029900000906,0.0026491374692313,0.0018867841134304,0.0004178131329522,0.0003052930125117,np,consistent,0.004,0.009,0.004,0.009,17722,15753,1713,9,142.49609375,152.92578125
1,4302,0.0,0.0364362166612621,-0.0364362166612621,0.029074321082283,0.000231870004407,0.001237338641645,0.0032803952512315,0.0009173332651104,0.000679502517912,np,consistent,0.006,0.009,0.006,0.009,11557,9402,1932,3,135.31640625,142.99609375
3,4302,0.0,0.0434311593997545,-0.0259082670525907,0.0434311593997545,0.0003956588274547,0.0017183683567823,0.0056871823589079,0.0016755771833197,0.0012296407660357,np,consistent,0.008,0.009,0.008,0.009,8824,6588,1983,4,133.5390625,138.68359375
4,4302,0.0,0.0384304419292493,-0.0309673371051899,0.0384304419292493,0.0006059825506979,0.0022691255164344,0.0090249560743659,0.0026121661322166,0.0019201295802095,np,consistent,0.01,0.009,0.01,0.009,7462,5426,1793,6,132.41796875,136.9375
0,4302,0.0,0.1335382403268263,-0.1335382403268263,0.1028755801845582,0.0025579536026912,0.009010868365935,0.042536965349305,0.0141989382277699,0.009000261325266,np,consistent,0.02,0.009,0.02,0.009,4639,2693,1738,5,131.5,135.6328125
2,4302,0.0,0.1867845057294253,-0.1741403352156536,0.1867845057294253,0.0058106178047999,0.0151648015442946,0.0573777470774165,0.0276482971255407,0.01869267417018,np,consistent,0.03,0.009,0.03,0.009,3647,2026,1484,3,131.68359375,135.3984375
